Sentence 1;Sentence 2;Similarity Score;Lexical Diversity
The time limit may be expressed as a specific date and time or as a period that has to elapse after submission of the last offer with new prices or values.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.704869270324707;N/A
Should an undertaking have the possibility of revoking against payment, or modifying, such commitments or guarantees, account will have to be taken of this fact in calculating the eligible stranded costs.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.7038022875785828;N/A
In this case, restoring the situation prior to the payment of the aid and removing the distortion of competition can in principle be achieved by registering the liability relating to the repayment of the aid in the schedule of liabilities as part of the court-supervised liquidation procedure.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6667237877845764;N/A
Should a required form and/or supporting document related to a claim for reimbursement/payment be incomplete or should some clarification or additional information be required, the Commission reserves the right to suspend the time limit of 45 days for payment until such document(s) is (are) received.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6659019589424133;N/A
1.A forecast to the date the periodic compensation ceases to be postponed, determined in accordance with Schedule 5 to the Act, of the periodic compensation payable to the pension compensation credit member under that Schedule.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6580904722213745;N/A
Balancing payments 11 1 Any payment which is required to be made pursuant to article 13(5) of the first Order by or to Deposits Management (Heritable) after the effective time shall be made by or, as the case may be, to ING.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6570699214935303;N/A
In such cases, the restoration of the previous situation and the elimination of the distortion of competition may, in principle, be achieved by registration of the liability relating to the repayment of the aid in the schedule of liabilities (48).;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6557800769805908;N/A
Claims for delayed payments shall be borne by the ACP State or States concerned, and by the Commission from its own resources, for that part of the delay for which each Party is responsible in accordance with the above procedures.’.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6541988253593445;N/A
Restrictions on remuneration must apply until the end of the restructuring period or until the bank has repaid the State aid, whichever occurs earlier.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6511098742485046;N/A
Should a claim for reimbursement/payment not have been supplied after the time limit of 30 days, the Commission reserves the right to refuse to make a reimbursement/payment.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6462421417236328;N/A
Any pension compensation credit member who has elected to postpone the commencement of the periodic compensation under paragraph 16A of Schedule 5 to the Act.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6432384848594666;N/A
If the irregularity affects the invitation to tender or other documents sent by the ECB, the time limit shall start to run from the date of receipt of the documents.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6405903100967407;N/A
When payment is late by more than 10 days, late interests shall be charged for the entire delay.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6383610367774963;N/A
Interested suppliers not yet included in the list may submit an application to be included in the list within the time limit specified in the simplified contract notice, which shall be not less than 15 days from the date on which the simplified contract notice is sent for publication.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6372809410095215;N/A
The Commission shall disburse the corresponding payments within 45 days of their receipt, unless the time limit has been suspended.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.636780321598053;N/A
This naturally also caused delays in the implementation of payment appropriations.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.636428952217102;N/A
If that member has still not paid its contribution within two months after such request, that member shall be requested to state the reasons for its inability to make payment.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6344152092933655;N/A
1.A forecast, to the date compensation ceases to be postponed, determined in accordance with the pension compensation provisions, of the periodic compensation and of any lump sump compensation, payable to the member under the pension compensation provisions.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6329339742660522;N/A
(ii) Postponement of VATUnder this scheme, VAT that has to be paid for importation of equipment listed in the Incentive Certificates, can be postponed until the date when such tax may be actually deducted.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6315508484840393;N/A
When the Commission decides not to proceed with a reimbursement/payment, the experts shall be duly informed subject to 30 days’ written notice of non-receipt of a claim for reimbursement/payment.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6292896866798401;N/A
Termination clauses in the proposed cotracts imply that enterprises with existing contracts ('statkraftskontrakter') and leases ('leieavtaler') will be conferred benefits for an extended period of time.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6285319328308105;N/A
In the case of open procedures, the minimum time limit for the receipt of tenders shall be 35 days from the date on which the contract notice was sent to the Official Journal.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6272940635681152;N/A
As soon as the application is registered, an acknowledgement of receipt shall be sent to the applicant (unless the application can be answered in substance in the same time frame).Article 3Time limits1.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6270541548728943;N/A
Suppliers shall submit their application within the time limit specified in the contract notice.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.626232385635376;N/A
Requests related to a measure for which a time limit applies must be made in due time, within the original time limit.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6261261701583862;N/A
The duration shall not exceed the period that a concessionaire could reasonably be expected to take to recoup the investments made and to obtain a financial return.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6236921548843384;N/A
When payment is late by more than ten days, interests shall be charged for the entire delay.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6231667995452881;N/A
This may involve, among other things, the termination of commitments or guarantees giving rise to stranded costs or the disposal of all or some of the assets giving rise to stranded costs (where this does not run counter to the very principles of the commitments or guarantees themselves).;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6221894025802612;N/A
As provided for in these rules an annuity may be substituted for the payments provided for above.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6219193339347839;N/A
If an addressee of a statement of objections considers that the time limit imposed for its reply to the statement of objections is too short, it may seek an extension of that time limit by means of a reasoned request addressed to the director responsible.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6218200922012329;N/A
"If a request does not meet the formal requirements set out above, its correction or completion may be requested; in the meantime precautionary measures may be ordered.";(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6186702251434326;N/A
If a request for reimbursement presented by a contributing State is approved, it may be deducted from the next call for contributions addressed to that State by the administrator.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6180244088172913;N/A
Companies are entitled to the tax postponement when they obtain an investment certificate.The tax postponement is equivalent to an interest-free loan and is a subsidy because the absence of interest confers a benefit.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6177620887756348;N/A
If the time limits have not been observed or if only part of the allocated financial support is justified by the progress made with implementing an action, the beneficiary shall submit observations to the Commission within a specified period.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6169413924217224;N/A
A dynamic purchasing system may not last for more than 4 years, except where a longer duration is duly justified and was provided for in the contract notice.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6156005263328552;N/A
Notwithstanding paragraph 2, the assisting party may at any time waive, or agree to the postponement of, the reimbursement in whole or in part.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6151880025863647;N/A
(2) The Contracting Party requesting assistance may cancel its request at any time, but in that case it shall bear the costs already incurred or committed by the assisting Contracting Party.;(1) Im Fall verzögerter Einzahlung kann an den säumigen Gesellschafter eine erneute Aufforderung zur Zahlung binnen einer zu bestimmenden Nachfrist unter Androhung seines Ausschlusses mit dem Geschäftsanteil, auf welchen die Zahlung zu erfolgen hat, erlassen werden.;0.6135205030441284;N/A
