Sentence 1;Sentence 2;Similarity Score;Lexical Diversity
An die Stelle der Delegierten treten die Wahlberechtigten des Seebetriebs.;(2) Sprecherausschüsse werden nur in den Landbetrieben von Seeschiffahrtsunternehmen gewählt.;0.6863162517547607;1.0
(4) Die Einzelheiten der Veröffentlichungspflichten nach Absatz 1 Satz 1 und 2 regelt Kapital IV Abschnitt 2 und 4 der Verordnung (EG) Nr. 1287/2006.;§ 4a ist entsprechend anzuwenden.;0.7398464679718018;1.0
Beträgt die Dauer eines Ausbildungsabschnitts im Ausland mehr als vier Wochen, ist hierfür ein mit der zuständigen Stelle abgestimmter Plan erforderlich.;Wird das Ausbildungsverhältnis vorzeitig beendigt oder abgebrochen, wird dem Ausländer einmalig eine Duldung für sechs Monate zum Zweck der Suche nach einer weiteren Ausbildungsstelle zur Aufnahme einer Berufsausbildung nach Satz 4 erteilt.;0.683738112449646;0.9795918367346939
(1) Oberflächenkontaminationen sollten die in Anlage 2 Tabelle 3 festgelegten Werte nicht überschreiten.;Bei bestimmungsgemäßem Betrieb und unter Beachtung der organisatorischen Sicherheitsmaßnahmen fallen aus der Schleuse keine kontaminierten Abwässer an.;0.665929913520813;1.0
Die Betreiber von Kohlendioxidleitungsnetzen und Kohlendioxidspeichern haben in dem Umfang zusammenzuarbeiten, der erforderlich ist, um einen effizienten Anschluss und Zugang zu gewährleisten.;"(1) Stromabnehmer und Fahrleitungsanlagen müssen so aufeinander abgestimmt sein, daß der Strom bis zur zulässigen Höchstgeschwindigkeit zuverlässig abgenommen werden kann; dies gilt für Schleifer entsprechend.";0.6392745971679688;0.9523809523809523
Darf am Schluß des Erstjahrs mit der Bildung einer Pensionsrückstellung begonnen werden, darf die Rückstellung bis zur Höhe des Teilwerts der Pensionsverpflichtung am Schluß dieses Wirtschaftsjahrs gebildet werden.;"Im nachfolgenden Geschäftsjahr ist dieser Unterschiedsbetrag unter dem ""Ausgleichsposten aus dem Vorjahr"" auszuweisen.";0.6921157836914062;1.0
Die Löschung ist zu protokollieren.;Sie soll einen bestimmten Antrag enthalten.;0.7263584733009338;1.0
Ist über ihn entschieden, so können weitere Ansprüche für den gleichen Zeitraum nicht mehr geltend gemacht werden.;Mit Ablauf der von der Behörde bezeichneten Aufgebotsfrist erlöschen die Rechte aus dem Antrag.;0.7830617427825928;1.0
(2) Der Antrag auf Bestellung ist nach amtlich vorgeschriebenem Vordruck zu stellen.;Es trifft die hierzu erforderlichen Anordnungen durch schriftlichen Verwaltungsakt (Abmeldungsbescheid).;0.7877745628356934;1.0
(3) Aufstiegsbeamtinnen und Aufstiegsbeamte, die die Laufbahn oder Zwischenprüfung endgültig nicht bestehen oder deren Befähigung für die höhere Laufbahn endgültig nicht festgestellt wird, verbleiben in ihrer bisherigen Laufbahn.;(5) Der Berufsoffizier kann auch dann, wenn er weder ein Studium noch eine Fachausbildung erhalten hat, seine Entlassung erst nach Ende des sechsten Dienstjahres als Offizier verlangen.;0.6232694387435913;1.0
(2) Absatz 1 gilt nicht für Einfuhrabgaben, deren Aufkommen den Ländern zusteht.;Diese Vorschrift findet keine Anwendung, wenn die Verbindlichkeit von einem Inländer im Ausland übernommen worden ist.;0.7822520732879639;1.0
Die Umschaltung von einem auf ein anderes System muss unverzüglich erfolgen können.;Darauf ist in der Anordnung der sofortigen Vollziehung hinzuweisen.;0.6038036942481995;1.0
(2) Das gleiche gilt, wenn der Handelsvertreter mit der Vermittlung oder dem Abschluß von Geschäften betraut wird, die die Befrachtung, Abfertigung oder Ausrüstung von Schiffen oder die Buchung von Passagen auf Schiffen zum Gegenstand haben.;In einem Seebetrieb ist § 90 Abs. 6 Satz 1 entsprechend anzuwenden.;0.6482071876525879;1.0
(2) Der Empfänger hat das Eingangsdokument in drei Exemplaren auszufertigen.;(3) Bestellscheine gelten als Geschäftsbriefe im Sinne des Absatzes 1.;0.7048018574714661;1.0
(2) Das Bundesministerium der Justiz und für Verbraucherschutz kann die Ermächtigung zum Erlaß von Rechtsverordnungen nach Absatz 1 durch Rechtsverordnung ohne Zustimmung des Bundesrates ganz oder teilweise dem Deutschen Patent- und Markenamt übertragen.;(3) Diese Bestimmung gilt entsprechend, wenn bei der Beratung eines Antrages über den Sitz einer Bundesbehörde zu entscheiden ist.;0.6721653938293457;0.98
In der Würdigung und Beurteilung des der Untersuchung zugrunde liegenden Sachverhaltes sind die Gerichte frei.;Das Gericht kann ohne mündliche Verhandlung entscheiden.;0.7519861459732056;1.0
Ausländern, die an einer mit deutschen Mitteln geförderten Schule im Ausland eine nationale Hochschulzugangsberechtigung in Verbindung mit dem Deutschen Sprachdiplom der Kultusministerkonferenz erlangt haben und ein Studium (§ 16 Absatz 1 und 6 des Aufenthaltsgesetzes) im Bundesgebiet aufnehmen.;Abschlüsse nach ausländischem Recht, sofern sie ihrer Art nach einem Abschluss nach den Nummern 1 bis 4 entsprechen.;0.6194753646850586;0.9787234042553191
Sie sind, außer wenn die Bundesregierung den Fall für dringlich erachtet, an die obersten Landesbehörden zu richten.;Behörden, sofern das Landesrecht dies bestimmt.;0.8141754269599915;1.0
Das Bundesamt für Verbraucherschutz und Lebensmittelsicherheit gibt die in Satz 1 genannten Stellen im Einvernehmen mit dem Bundesministerium der Finanzen im Bundesanzeiger bekannt, soweit diese Stellen nicht im Amtsblatt der Europäischen Union bekannt gegeben sind oder nicht in Rechtsakten der Europäischen Union eine Bekanntgabe durch die Europäische Kommission vorgesehen ist.;(4) Die Bundesnetzagentur unterrichtet die zuständige Stelle nach Landesrecht unverzüglich über die Anzeige nach Absatz 3 Nr. 4.;0.6903989315032959;0.9803921568627451
Das Finanzamt erteilt hierüber eine Bescheinigung.;Der Antragsteller nimmt die Bestätigungen zu seinen steuerlichen Aufzeichnungen.;0.7442449331283569;1.0
Abweichend von den Sätzen 1 und 2 sind bei der Berechnung von Leistungen nach den §§ 50a bis 50d die Regelungen des § 121 des Sechsten Buches Sozialgesetzbuch anzuwenden.;(5) § 31 Abs. 5 in Verbindung mit § 49 Absatz 4 Nummer 3 gilt entsprechend.;0.6516507267951965;0.9736842105263158
(3) Führt die Planfeststellungsbehörde in den Fällen des Absatzes 2 oder in anderen Fällen einer Planänderung von unwesentlicher Bedeutung ein Planfeststellungsverfahren durch, so bedarf es keines Anhörungsverfahrens und keiner öffentlichen Bekanntgabe des Planfeststellungsbeschlusses.;Bei Vorhaben im Sinne der Nummer 19.3 der Anlage 1 darf der Planfeststellungsbeschluss darüber hinaus nur erteilt werden, wenn eine nachteilige Veränderung der Wasserbeschaffenheit nicht zu besorgen ist.;0.7174378633499146;1.0
Sind solche Vorkehrungen oder Anlagen untunlich oder mit dem Vorhaben unvereinbar, so hat der Betroffene Anspruch auf angemessene Entschädigung in Geld.;(2) Im Übrigen regelt sich die Rückforderung zuviel gezahlter Versorgungsbezüge nach den Vorschriften des Bürgerlichen Gesetzbuchs über die Herausgabe einer ungerechtfertigten Bereicherung, soweit gesetzlich nichts anderes bestimmt ist.;0.7569257616996765;1.0
In der Empfangsbestätigung ist das Datum des Eingangs bei der einheitlichen Stelle mitzuteilen und auf die Frist, die Voraussetzungen für den Beginn des Fristlaufs und auf eine an den Fristablauf geknüpfte Rechtsfolge sowie auf die verfügbaren Rechtsbehelfe hinzuweisen.;Es muß dies vor Ablauf bestimmter Fristen prüfen.;0.6906460523605347;1.0
