Sentence 1;Sentence 2;Similarity Score;Lexical Diversity
(Sub-types for wind turbine generators and meteorological stations include multi-legs with driven piles, drilled piles, screw piles, suction buckets and jack-up foundations.;Installations for the harnessing of wind power for energy production (wind farms).;0.6626534461975098;0.9545454545454546
It may be renewed, or amended as appropriate, if the Council deems that its objectives have not been met.’.;If necessary, it shall make proposals to  adapt or supplement the framework programme according to the results of this assessment.;0.6357076168060303;1.0
Similarly, the Bank's reliance on the State-guaranteed ELA and wider Eurosystem funding will decrease during the restructuring period.;The amount of the ECB’s income on euro banknotes in circulation may be reduced in accordance with any decision by the Governing Council on the basis of the Statute of the ESCB in respect of expenses incurred by the ECB in connection with the issue and handling of euro banknotes.;0.6631114482879639;1.0
The verification shall be carried out by the customs authorities of the exporting country or territory.;These results must be such as to make it possible to determine whether the export certificate EXP applied to the products  actually exported, and whether these products can, in fact, qualify for the application of the arrangements provided for.;0.7281385064125061;1.0
Consequently, the transaction consisting of the correspondence exchanged in 2004 conferred an economic advantage on Ryanair.;The existence of this subsidy, granted by the SMAN, demonstrates the latter’s influence over VTAN’s commercial relations with Ryanair/AMS.;0.6121241450309753;1.0
(2)  OJ L 287, 4.11.2010, p. 3.;MÜNTEFERING(1) OJ C 316, 14.10.1998, p.;0.7988097667694092;0.9230769230769231
Since the adoption of that Directive, UN regulations have increasingly been incorporated into Union legislation in the framework of the EU type-approval.;Moreover, the European Community declares that it has already adopted several legal instruments, binding on its Member States, implementing provisions of this Convention and will submit and update as appropriate a list of those legal instruments to the Depositary in accordance with Article 10(2) and Article 19(5) of the Convention.;0.7168958783149719;1.0
They  aim at improving the competitiveness of European industry and the quality of life and are designed  to provide the scientific and technical bases needed to support sustainable development,  environmental protection and other common policies.;In addition, it shall include measures to address emerging research needs, advance the pan-Baltic integration of research, and include a joint roadmap for the shared use and possible planning for future investments in regional infrastructure capacities.;0.6663172245025635;1.0
Any individual shall have the right to seek the rectification of his or her PNR data processed by the Australian Customs and Border Protection Service where the data is inaccurate.;Consistent with U.S. law, DHS also maintains a system accessible by individuals, regardless of their nationality or country of residence, for providing redress to persons seeking information about or correction of PNR.;0.6458295583724976;0.9696969696969697
The EUSR shall provide Member States’ missions and Union delegations with regular briefings.;It may invite the EU Mission Commander to its meetings, as appropriate.;0.6969587802886963;1.0
(4)  Adopted in parallel with this Framework.;It will develop in the fourth framework programme along the following lines.;0.6737133264541626;0.9
Where prices may be revised under a .;Thus, adjustments were made in respect of physical characteristics, import charges and indirect taxes, rebates, transport and other related costs, credit, after-sales costs as well as for differences in level of trade.;0.6806761026382446;1.0
Signed by authority of the Secretary of State for Health.;Amendment of the National Health Service (General Medical Services Contracts) (Prescription of Drugs etc.);0.640180230140686;0.9333333333333333
IF THE MATTER IS REFERRED TO THE COUNCIL BY THE MEMBER STATE WHICH HAS TAKEN THE SAFEGUARD MEASURES , THE COMMISSION'S DECISION SHALL BE SUSPENDED .;They may recommend to the competent bodies amendments which they consider should be made to this Protocol.;0.6924526691436768;1.0
Persons of the Community may participate in research and development programmes and projects with the competitive funding system operated by the Government of Japan, its agencies or official institutions in scientific and technological fields similar to those of the Framework Programme for research and technological development.;Support will be provided for a study of the demand for and practicability of exchanges of researchers between the eligible countries and the Member States.;0.6849538683891296;1.0
The Parties shall conduct regular dialogue on any social matter which is of interest to them.;If necessary, the  consultations will also provide for an exchange of views prior to discussions conducted on these subjects in the appropriate international forums.;0.6762596964836121;1.0
This work shall be carried out under contract.;This section applies to contracts and other agreements entered into by the building society or by the successor company or its specified parent undertaking.;0.7087675333023071;1.0
This is without prejudice to the making of a further agreement or of a further direction.;For the purpose of this Article, ‘consensus’ means the absence of any formal objection made at the time the decision was taken.;0.7086069583892822;1.0
In either case, the sum total of all ingredients that are assigned or may be assigned at the time of application any of these risk phrases (or combinations thereof) or GHS classifications shall not exceed 4 % (m/m).;Assessment and verification: The applicant shall compile declarations of the non-presence of SVHCs at or above the specified concentration limit for the product and the sub-assemblies and component parts identified in Table 3.;0.6209766864776611;0.9722222222222222
Without prejudice to Article 8 of this Protocol, this financial contribution could be suspended by the Community if it is not possible to use the fishing opportunities provided for in this Protocol.;These provisions shall not be applied, however, so as to have the effect of distorting competition within the Communities.Article 2The role of the Fund shall be to collect the revenue and manage the expenditure of the Convention other than that relating to the infrastructure needed for its operation.Article 31.;0.6295679211616516;1.0
The expenditure financed by the amount set out in paragraph 1 shall be managed in accordance with the procedures and rules applicable to the general budget of the European Union.;(4)  Council Regulation (EU, Euratom) No 1311/2013 of 2 December 2013 laying down the multiannual financial framework for the years 2014-2020 (OJ L 347, 20.12.2013, p. 884).;0.6893969774246216;1.0
At the end of the risk assessment, be it for an individual injury scenario or for the overall risk of the product, the plausibility of the risk level and uncertainties in the estimates should be considered.;Nevertheless, people take risks while being aware of the possible damage, because the damage does not always happen.;0.6811052560806274;1.0
This should encourage other donors to support the drive to reduce and control small arms and light weapons and, where appropriate, allow the implementation of joint projects with other donors.;Actions aimed at exploring avenues for cooperation in order to develop them over the longer term will be particularly encouraged.;0.6041532158851624;1.0
Activities to be carried out in accordance with the JRC mission.;It will, in particular, carry out the following tasks.;0.6399917006492615;1.0
As regards Valencia CF, which benefitted from measures 1 and 4, Spain claims that measure 4 is only an increase of the existing guarantee by EUR 6 million, therefore it cannot be considered as a new guarantee and thus new State aid to Valencia CF.;At the same time, the Commission notes that it has not been demonstrated that the services of Valencia CF were attributed to it by the Spanish authorities in a way compatible with Article 106(2) TFEU, i.e.;0.6167374849319458;0.9459459459459459
It considers that the tax places an additional burden on a sector already hit by decreasing revenues.;Thus, the impact will not be evenly spread on the users and the economic situation of certain users will be seriously affected.;0.663838267326355;1.0
The written comments submitted by the parties were, where appropriate, taken into consideration.;The Commission invited the recipients of these letters to comment in this respect, if they so wished.;0.77784264087677;1.0
Former Chief of Bureau of Special Operations 3.;The commander of the aircraft.;0.6245971918106079;1.0
(5)  OJ L 357, 31.12.2002, p. 72.;(2) OJ C 140 E, 13.6.2002, p.;0.7724460363388062;0.9230769230769231
As a result, France considers that a private operator acting in a market economy would not have been prepared to assume the tasks assigned to VTAN, under the same conditions, in the absence of compensation for the public service provided.;Applicants working with private sector actors regarded ineligible for example by the nature of their activity which is incompatible with the basic principles of the European Union as stated in Article 2 and 3 of the EU Treaty, can be considered unacceptable.;0.6389213800430298;0.9761904761904762
(46) For the definition of 'Community standard' see point 7.;Common Position as last amended by Council Decision 2007/423/CFSP (OJ L 157, 19.6.2007, p. 23).;0.6000610589981079;1.0
This fact is not disputed by the Netherlands.;The Belgian authorities did not dispute this classification during the monitoring exercise.;0.6515085697174072;1.0
The EEAS shall give its opinion promptly, taking into account any time limit applicable for answer, and at the latest within five working days.Article 8Classified documents1.;All such cases will have to be notified by the SFA to the EC flag Member States at least 15 days before the review meeting.;0.6804807186126709;1.0
In the latter case, each certificate must include a reference to such approval.;Such alterations should be approved by the person who made them and certificated by the appropriate authority or body.;0.7891348004341125;1.0
This requirement shall not apply to any documents that accompany the request under paragraph 1.;This provision specifically excludes any other form of imposed contribution.;0.6565765142440796;1.0
The severity of the injury thus reflects the effect the hazard has on the consumer under the conditions described in the injury scenario.;They may also help to assess the risk for different injuries that a product may cause, and the way in which those injuries emerge through the use of the product.;0.7709488868713379;1.0
exceed the agreed 6 %).;(56) and [1,5 % to 3,5 %] p.a.;0.6207385659217834;1.0
The EUSR shall provide regular briefings to Member States' missions and the Union's delegations.;It may invite the EU Mission Commander to its meetings, as appropriate.;0.6824651956558228;1.0
The Union Strategy for the Baltic Sea Region supports a sustainable environment and optimal economic and social development in the Baltic Sea region.;Work towards the future regional FTA in South-East Europe.;0.6308250427246094;1.0
Where a case is referred back to the Civil Service Tribunal, the Tribunal shall be bound by the decision of the Court of First Instance on points of law.’;1987/257 ) Appeals Tribunals Regulation 10 of the Local Authorities (Code of Conduct) (Local Determination) Regulations 2003 ( S.I.;0.7033243179321289;1.0
In the case of coastal State Contracting Parties, the report shall include information regarding the conservation and management measures they have taken for straddling fishery resources occurring in waters under their jurisdiction adjacent to the Convention Area in accordance with Article 20 paragraph 4 and Article 4.;(16)  Relevant fisheries-related data should be used in application of Regulation (EC) No 199/2008.;0.7134106159210205;1.0
1868/77 laying down detailed rules of application for Regulation (EEC) No.;1601/91 , Regulations (EC) No.;0.7983156442642212;1.0
(b) Declaration for exportation entitlement to duty-free replacement of goods 12.;Import duties and taxes applicable to compensating products  22.;0.7628140449523926;1.0
"I should be obliged if you would kindly acknowledge receipt of this letter.""";Please accept, Sir/Madam, the assurance of my highest consideration.;0.6569528579711914;1.0
Subsequent verifications of statements on origin shall be carried out at random or whenever the customs authorities of the Member States have reasonable doubts as to their authenticity, the originating status of the products concerned or the fulfilment of other requirements of this Annex.;Notes (1) There are various cases in which the exportation of goods may have to be certified, such as  when goods are being exported temporarily or are being exported on drawback or after temporary  admission.;0.655662477016449;1.0
(6)  OJ L 357, 31.12.2002, p. 72.;(2) OJ C 140 E, 13.6.2002, p.;0.7716463804244995;0.9230769230769231
It is appropriate to adopt an Accession Partnership which updates the previous European Partnership on the basis of the findings of the 2005 Commission’s Progress Report on Croatia.;This assessment has been used in formulating the priorities for the current partnership.Slovenia submitted a revised version of its National programme for the adoption of the acquis (NPAA) on 31 May 1999.;0.7418469190597534;1.0
The SNE shall first be given an opportunity to submit his defence.;The SNE shall be asked in particular to declare any potential conflict between his family circumstances (in particular the professional activities of close family members or any important financial interests of his own, or of close family members) and the proposed duties while on secondment.;0.6135684251785278;0.9166666666666666
Furthermore, the small percentage of the total coal business affected by the imposition of anti-dumping measures on foundry coke (less than 2,5 % of total turnover) negates the possibility of substantial economies of scale being seriously jeopardised.;Magnitude of the actual margin of dumping(58) As concerns the impact on the Community industry of the magnitude of the actual margin of dumping, given the volume and the prices of the imports from the PRC, this impact cannot be considered to be negligible.5.;0.606850266456604;1.0
These officials shall not remain on board for longer than is necessary for the discharge of their duties.;On the basis of the report, the AACC may decide to dismiss the member of the temporary staff before the end of the probationary period by giving him one month's notice.;0.614686131477356;1.0
